175.45.176.0,0,149.171.126.13,0,st2,INT,1.007653,360,0,254,0,0,0,-,2143.594971,0.0,4,0,0,0,0,0,90,0,0,0,474.999437,0.0,1424223123,1424223124,335.884344,0.0,0.0,0.0,0.0,0,2,,, ,1,1,1,2,1,1,1,Backdoor,1
175.45.176.0,0,149.171.126.13,0,st2,INT,1.007653,360,0,254,0,0,0,-,2143.594971,0.0,4,0,0,0,0,0,90,0,0,0,474.999437,0.0,1424223123,1424223124,335.884344,0.0,0.0,0.0,0.0,0,2,,, ,1,1,1,2,1,1,1,Analysis,1
175.45.176.0,9225,149.171.126.19,111,udp,INT,8e-06,168,0,254,0,0,0,-,84000000.0,0.0,2,0,0,0,0,0,84,0,0,0,0.0,0.0,1424223124,1424223124,0.008,0.0,0.0,0.0,0.0,0,2,,, ,1,1,1,2,1,1,1,Reconnaissance,1
59.166.0.7,14282,149.171.126.6,80,tcp,FIN,1.005866,1580,10168,31,29,3,5,http,11524.39746,76383.92969,12,18,255,255,3571462554,1422875806,132,565,1,3924,9530.64191,7675.192003,1424223140,1424223141,91.410997,59.14065,0.000586,0.000472,0.000114,0,0,1.0,, ,2,2,1,2,2,1,1,,0
175.45.176.0,0,149.171.126.13,0,bbn-rcc,INT,3e-06,180,0,254,0,0,0,-,239999984.0,0.0,2,0,0,0,0,0,90,0,0,0,0.0,0.0,1424223147,1424223147,0.003,0.0,0.0,0.0,0.0,0,2,,, ,10,10,10,10,10,10,10,Backdoor,1
59.166.0.0,7096,149.171.126.9,5190,tcp,FIN,0.109197,1272,2572,31,29,4,4,-,87401.67188,178026.875,16,18,255,255,3569847928,1424734732,80,143,0,0,378.243644,9.087942,1424223157,1424223158,7.256733,6.358412,0.001221,0.001099,0.000122,0,0,,, ,11,4,2,7,1,1,1,,0
59.166.0.9,51550,149.171.126.7,111,udp,CON,0.004631,568,320,31,29,0,0,-,735910.125,414597.2813,4,4,0,0,0,0,142,80,0,0,1.655574,1.459496,1424223164,1424223164,1.176667,1.05,0.0,0.0,0.0,0,0,,, ,3,6,5,3,1,1,3,,0
175.45.176.2,62869,149.171.126.11,80,tcp,FIN,0.823536,508,354,254,252,2,1,http,4449.107422,3011.404541,10,8,255,255,998154456,314108568,51,44,1,0,5190.569741,164.121938,1424223173,1424223174,91.504,109.669,0.132992,0.055266,0.077726,0,1,1.0,, ,3,2,1,1,1,1,2,Fuzzers,1
59.166.0.4,8783,149.171.126.4,143,tcp,FIN,1.392192,7816,15118,31,29,30,32,-,44545.57813,86189.25781,122,126,255,255,672078818,2822578066,64,120,0,0,812.792849,804.179178,1424223181,1424223183,11.502454,11.223516,0.000587,0.000473,0.000114,0,0,,, ,8,9,3,3,1,1,1,,0
175.45.176.0,0,149.171.126.13,0,xtp,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223184,1424223184,0.009,0.0,0.0,0.0,0.0,0,2,,, ,4,4,1,2,1,1,4,DoS,1
59.166.0.5,55356,149.171.126.7,143,tcp,FIN,0.390794,7800,15090,31,29,30,32,-,158385.2344,306473.4688,122,126,255,255,3676757630,3677771412,64,120,0,0,389.718493,379.797379,1424223204,1424223205,3.337239,3.122104,0.000659,0.000527,0.000132,0,0,,, ,5,6,2,1,1,1,1,,0
175.45.176.0,0,149.171.126.13,0,sun-nd,INT,8e-06,200,0,254,0,0,0,-,100000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223210,1424223210,0.008,0.0,0.0,0.0,0.0,0,2,,, ,4,4,2,10,2,2,4,Backdoor,1
175.45.176.1,29250,149.171.126.19,111,tcp,FIN,2.572658,564,354,254,252,2,1,-,1579.689087,963.983521,10,8,255,255,2260083723,474312995,56,44,0,0,19281.27345,535.901438,1424223215,1424223218,285.850889,354.614,0.168967,0.089312,0.079655,0,1,,, ,1,4,2,1,1,1,1,Reconnaissance,1
175.45.176.0,0,149.171.126.13,0,ospf,INT,8e-06,200,0,254,0,0,0,-,100000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223219,1424223219,0.008,0.0,0.0,0.0,0.0,0,2,,, ,5,5,2,3,2,2,5,Analysis,1
175.45.176.0,0,149.171.126.13,0,larp,INT,5e-06,200,0,254,0,0,0,-,160000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223220,1424223220,0.005,0.0,0.0,0.0,0.0,0,2,,, ,6,6,2,11,2,2,6,Analysis,1
